Longitude,Latitude,Month,pr_ab,x,y
-119.321561,36.220644000000014,4,1,60912.554908161954,-199382.1924641421
-119.28727299999998,36.32015099999998,4,1,63907.882570542446,-188302.32477884507
-119.087232,35.425112999999996,4,1,82801.62913707522,-287581.56722182455
-118.09137300000002,34.13859100000001,4,1,176006.73124588098,-429021.23388938745
-117.98015400000001,34.13768399999997,4,1,186263.56769421822,-428909.4370592376
-117.923321,33.82044200000003,4,1,192274.41227746615,-463976.07488872064
-117.860241,33.71405800000003,4,1,198380.0554075945,-475640.4585188371
-117.680357,34.02280600000004,4,1,214216.43459512343,-441016.5392022361
-117.39657300000002,33.69206699999998,4,1,241424.46485848524,-477002.7739194846
-117.19583899999999,34.04718199999997,4,1,258869.205343965,-437104.7296425374
-116.310944,33.73152500000001,4,1,341884.8465203211,-469289.91928438796
-121.37786799999999,38.58871999999999,4,1,-119880.79984926211,64495.67153169075
-120.785748,37.425550999999984,4,1,-69436.96379031298,-65390.97127814079
-120.041418,36.73126800000003,4,1,-3693.9777933394694,-142851.44131385256
-119.813223,36.785056000000004,4,1,16646.04041704569,-136857.33264077967
-119.668389,36.64223899999997,4,1,29609.487999706238,-152695.12468738994
-119.602667,36.567389,4,1,35512.628568738,-160991.31319677318
-119.54885499999999,36.522879,4,1,40345.726828124745,-165916.47260808852
-119.54117500000001,36.52976499999998,4,1,41028.837963009304,-165147.90147317527
-119.41322199999999,36.34973699999994,4,1,52594.25107851546,-185092.02689433424
-119.403976,36.553240999999964,4,1,53280.82080164982,-162470.6390212262
-119.34474900000001,36.33090299999998,4,1,58746.02170590936,-187144.72268784652
-119.34037699999999,36.29100899999997,4,1,59168.823350864084,-191575.14876161376
-119.33682560000001,36.36430283000003,4,1,59430.419007390265,-183428.22525761276
-119.32740000000001,36.323080999999995,4,1,60307.57483299155,-188003.03473767452
-119.3261463,36.29580030000001,4,1,60441.52772837304,-191033.7471826626
-119.323217,36.363762000000015,4,1,60650.36466737823,-183479.70235843072
-119.32307900000002,36.33460199999995,4,1,60685.86446600098,-186720.01725646574
